䇦	a kind of bamboo; colorless bamboo; bamboo shoot
䇮	a bamboo mat used in ancient times; a sleeping mat
䇳	a memoradum tablet; slip of paper; fancy notepaper; a note; a document
䈇	a cover; a shade; a basket used to catch fish
䈎	a leaf; the page of a book; a leaf of a door; a lobe of the lungs or liver
䉤	a bamboo ware for washing rice; a measuring unit used in ancient times; equal to 16 Chinese peck
䋖	long; a gown; a long dress
䋝	a throat-band; chin strap for holding the hat; tassel; a fringe
䌂	in ancient times, article for preparing the body for the coffin (something slipped on the hand of the dead)
䌫	a hawser; a cable; a rope
䍃	a vase; a pitcher; earthenware
䏮	the sides of the trunk from armpits to ribs; the flank
䏰	a kind of insects; earthworm; durable; strong and soft; pliable yet tough
䐈	a piece of one foot two inches dried seasoned meat; to paste up; to attach to; to stick up; to glue; rotten fat; grease, lard, etc.; bowels
䐗	a pig; the belly; the abdomen
䐜	a swelled belly; drop-sical; to swell; inflated
䐢	to wrinkle; to contract; beautiful; elegant; dried and seasoned meat; excellent food; delicacies
䑓	a lookout; a tower; a terrace; a platform; a stage
䑛	to lick
䑶	sprightly boat; light boat
䑺	a sail (of a boat)
䒑	grass; straw; herbs; weeds
䒳	a flower; a cluster of flowers; a bud; lobe of the ear
䔈	lush growth of grass; trees and fruits
䔥	common variety of artemisia
䕃	the shade of a tree; to cover up; to cover or screen
䖝	insects; worms
䖸	moth
䗥	the solitary wasp; lice on cattle; a kind of gad-fly
䗪	a kind of worm; can be used in Chinese medicine
䘏	sympathy; pity
䙁	children's garments; a mat for wrapping garments
䙥	shiny dresses
䚡	bones in a horn of cattle and goat
䚯	to quell (uprising, rebellion, etc.) to punish (another nation, etc.) by force of arms; sound; voice; tone
䜌	chaos; distraction; confusion; confused; continuous; uninterruptedto tie together; to manage
䝤	a primitive tribe in southwest China; nocturnal hunting
䟽	scattered or dispersed
䡎	a windlass; a pulley; a capstan
䢵	name of an old country in today's Hubei province; name of a place in today's Jiangsu province
䦰	lots; to draw lots
䧧	high mountains; steep; lofty
䧺	the male of birds
䨄	quail
䨩	the spirit; the soul; divine; super-natural
䪼	the cheek-bone; the malar bone; the malar
䬻	to entertain a departing friend; a parting present of food or money
䯂	numerous; very many; large group of horses traveling in a line
䯊	the pelvis; bone stuck in the throat; the kneecap; patella; the five lowest pieces of bone of the spinal column
䯒	the upper part of the shinbone; or tibia
䯨	to rap; to tap; to beat; big; great; large; tall; high
䰗	a lot; a ticket; to draw lots
䰠	god; spirit; immortal; mountain deity
䳄	a kind of water bird; with black color; female; woman-like
䳑	a pheasant-like bird
䴇	a second name for crane; a small swan; a second name for wagtail
䵷	frog; to make the noise of vomitting
一	On イチ, イツ; Kun ひと-, ひと.つ — one; one radical (no.1)
丁	On チョウ, テイ, チン, トウ, チ; Kun ひのと — street; ward; town; counter for guns, tools, leaves or cakes of something; even number; 4th calendar sign
丂	On コウ; Kun さまた.げられる — obstruction of breath (qi) as it seeks release; variant of other characters
七	On シチ; Kun なな, なな.つ, なの — seven
丄	On ジョウ, ショウ; Kun うえ, うわ-, かみ, あ.げる, あ.がる, あ.がり, のぼ.る, のぼ.せる, のぼ.す, よ.す — above
丅	On カ, ゲ; Kun した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.す, くだ.さる, お.ろす, お.りる — under; underneath; below; down; inferior; bring down
万	On マン, バン; Kun よろず — ten thousand; 10,000
丈	On ジョウ; Kun たけ, だけ — length; ten shaku; measure; Mr.; Ms.; height; stature; all (one has); only; that's all; merely
三	On サン, ゾウ; Kun み, み.つ, みっ.つ — three
上	On ジョウ, ショウ, シャン; Kun うえ, -うえ, うわ-, かみ, あ.げる, -あ.げる, あ.がる, -あ.がる, あ.がり, -あ.がり, のぼ.る, のぼ.り, のぼ.せる, のぼ.す, たてまつ.る — above; up
下	On カ, ゲ; Kun した, しも, もと, さ.げる, さ.がる, くだ.る, くだ.り, くだ.す, -くだ.す, くだ.さる, お.ろす, お.りる — below; down; descend; give; low; inferior
丌	On キ, ゴ; Kun そ.れ, そ.の, だい — table
不	On フ, ブ; Kun — — negative; non-; bad; ugly; clumsy
与	On ヨ; Kun あた.える, あずか.る, くみ.する, ともに — bestow; participate in; give; award; impart; provide; cause; gift; godsend
丏	On ベン, メン; Kun みえぬ — parapet; invisible
丐	On カイ; Kun こ.う — beggar; beg; give
丑	On チュウ; Kun うし — sign of the ox or cow; 1-3AM; second sign of Chinese zodiac
丒	On チュウ; Kun うし — the period from 1 to 3 am; 2nd character of the "branches"
且	On ショ, ソ, ショウ; Kun か.つ — moreover; also; furthermore
丕	On ヒ; Kun おお.きい — large; great; grand; glorious; distinguished
世	On セイ, セ, ソウ; Kun よ — generation; world; society; public
丗	On セイ, セ, ソウ; Kun よ, さんじゅう — thirty
丘	On キュウ; Kun おか — hill; knoll
丙	On ヘイ; Kun ひのえ — third class; 3rd; 3rd calendar sign
丞	On ジョウ, ショウ; Kun すく.う, たす.ける — help
丟	On チュウ, チュ; Kun さる, なげう.つ — discard; reject; lose
両	On リョウ; Kun てる, ふたつ — both; old Japanese coin; counter for carriages (e.g., in a train); two
丣	On ユウ; Kun とり — the tenth of the twelve Terrestrial Branches (ancient form)
两	On リョウ; Kun て.る, ふたつ — two; both; pair; couple; ounce
並	On ヘイ, ホウ; Kun な.み, なみ, なら.べる, なら.ぶ, なら.びに — row; and; besides; as well as; line up; rank with; rival; equal
丨	On コン, シ, ジョ, ニョ; Kun すす.む, しりぞ.く — number one; line; rod radical (no. 2)
丩	On キュウ; Kun まつわる — to join or connect the vine
个	On カ, コ; Kun — — counter for articles; individual
丫	On ア, ヤ; Kun ふたまた, あげまき — bifurcation; fork
丬	half of tree trunk; rad. no. 90
中	On チュウ; Kun なか, うち, あた.る — in; inside; middle; mean; center
丮	On ケキ, キャク; Kun も.つ, と.る — catch
丯	On カイ; Kun さんらん.する — dense
丰	On ホウ, フ, フウ; Kun みめよ.い, しげ.る — abundant; lush; bountiful; plenty; fat face; luxurious growth of grass
丱	On カン, ケン; Kun — — saguaro-like kanji; horn-shaped locks of hair; young; tender
串	On カン, ケン, セン; Kun くし, つらぬ.く — spit; skewer
丵	On サク; Kun くさのむらがり — thick (grass)
丶	On チュ; Kun — — dot; tick or dot radical (no. 3)
丸	On ガン; Kun まる, まる.める, まる.い — round; full (month); perfection; -ship; pills; make round; roll up; curl up; seduce; explain away
丹	On タン; Kun に — rust-colored; red; red lead; pills; sincerity
主	On シュ, ス, シュウ; Kun ぬし, おも, あるじ — lord; chief; master; main thing; principal
丼	On トン, タン, ショウ, セイ; Kun どんぶり — bowl; bowl of food
丿	On ヘツ; Kun えい, よう — katakana no radical (no. 4)
乀	On フツ, ブチ; Kun ま.がる — stretch
乂	On ガイ, カイ, ゲ; Kun おさ.める, か.る — mow; cut grass; subdue
乃	On ナイ, ダイ, ノ, アイ; Kun の, すなわ.ち, なんじ — from; possessive particle; whereupon; accordingly
乄	On —; Kun し.める, して — to find a place to dwell; sum; measurement of paper; to do; adding up; bundle; 8.5 lb; (kokuji)
久	On キュウ, ク; Kun ひさ.しい — long time; old story
乇	On タク, チャク; Kun — — to depend on; to entrust with
么	On エウ; Kun — — interrogative particle; repetition of a tune small; tender
之	On シ; Kun の, これ, ゆく, この — of; this
乍	On サ, サク; Kun -なが.ら, たちま.ち — though; notwithstanding; while; during; both; all
乎	On コ, オ; Kun か, ああ, かな, や, よ, を — question mark; ?
乏	On ボウ; Kun とぼ.しい, とも.しい — destitution; scarce; limited
乑	On ギン, ゴン, シュウ; Kun ならびたつ — stand side by side; assemble
乕	On コ; Kun とら — tiger; brave; fierce; surname
乖	On カイ; Kun そむ.く, もとる — oppose; disobey
乗	On ジョウ, ショウ; Kun の.る, -の.り, の.せる — ride; power; multiplication; record; counter for vehicles; board; mount; join
乘	On ジョウ; Kun の.る, の.せる — power; multiplication; record; counter for vehicles
乙	On オツ, イツ; Kun おと-, きのと — the latter; duplicate; strange; witty; fishhook radical (no. 5)
乚	On イン, オン; Kun かく.す, かく.れる, かか.す, よ.る — hidden; mysterious; secret; to conceal; small; minute; fishhook radical variant (no. 5)
乜	On バ, メ; Kun やぶにらみ — to squint; what? huh? (Cant.)
九	On キュウ, ク; Kun ここの, ここの.つ — nine
乞	On コツ, キツ, キ, キケ, コチ; Kun こ.う — beg; invite; ask
也	On ヤ, エ; Kun なり, か, また — to be (classical)
乢	On ガイ; Kun たわ, たお — mountain saddle
乨	On シ; Kun はじ.める, はじ.まる — the beginning; to start; to begin; to be the first
乩	On ケイ; Kun うらな.う — to divine
乱	On ラン, ロン; Kun みだ.れる, みだ.る, みだ.す, みだ, おさ.める, わた.る — riot; war; disorder; disturb
乳	On ニュウ; Kun ちち, ち — milk; breasts
乵	On エン; Kun すす.む — to enter; to make progress; to advance; to urge forward
乹	On カン, ケン; Kun かわ.く, かわ.かす, ほ.す, ひ.る, いぬい — drought; dry; dessicate; drink up; heaven; emperor
乾	On カン, ケン; Kun かわ.く, かわ.かす, ほ.す, ひ.る, いぬい — drought; dry; desiccate; drink up; heaven; emperor
乿	On チ, ジ; Kun おさ.める — to cure; to heal
亀	On キ, キュウ, キン; Kun かめ — tortoise; turtle
亂	On ラン, ロン; Kun みだ.れる, みだ.る, みだ.す, みだ.れ, おさ.める, わた.る — war; disorder; riot; disturb
亅	On ケツ; Kun かぎ — feathered stick; barb radical (no. 6)
了	On リョウ; Kun — — complete; finish
予	On ヨ, シャ; Kun あらかじ.め — beforehand; previous; myself; I
争	On ソウ; Kun あらそ.う, いか.でか — contend; dispute; argue
亊	On ジ, シ, ズ; Kun こと, つか.う, つか.える — affair; matter; business; to serve; accident; incident
事	On ジ, ズ; Kun こと, つか.う, つか.える — matter; thing; fact; business; reason; possibly
二	On ニ, ジ; Kun ふた, ふた.つ, ふたたび — two; two radical (no. 7)
亍	On チョク; Kun たたず.む — to take small steps; Korean place name
于	On ウ, ク; Kun ここに, ああ, おいて, に, より, を — going; from
云	On ウン; Kun い.う, ここに — say
互	On ゴ; Kun たが.い, かたみ.に — mutually; reciprocally; together
五	On ゴ; Kun いつ, いつ.つ — five
井	On セイ, ショウ; Kun い — well; well crib; town; community
亖	On シ; Kun よ, よ.つ, よっ.つ, よん — four
亗	On サイ, セイ; Kun とし, とせ, よわ.い — harvest; year; age
亘	On コウ, カン, セン; Kun わた.る, もと.める — span; range; extend over
亙	On コウ, カン; Kun わた.る, もと.める — range; reach; extend; cover
些	On サ, シャ; Kun ち.と, ち.っと, いささか — a little bit; sometimes
亜	On ア; Kun つ.ぐ — Asia; rank next; come after; -ous
亝	On セイ, サイ; Kun そろ.う, ひと.しい, ひと.しく, あ.たる, はや.い — even; regular; uniform all alike; to arrange
亞	On ア; Kun つ.ぐ — rank; follow
亟	On キョク, キ, ケ; Kun しばしば, すみやか — fast; quick; sudden
亠	On トウ; Kun — — kettle lid radical (no. 8)
亡	On ボウ, モウ; Kun な.い, な.き-, ほろ.びる, ほろ.ぶ, ほろ.ぼす — deceased; the late; dying; perish
亢	On コウ; Kun たかぶる — high spirits
交	On コウ; Kun まじ.わる, まじ.える, ま.じる, まじ.る, ま.ざる, ま.ぜる, -か.う, か.わす, かわ.す, こもごも — mingle; mixing; association; coming & going
亥	On ガイ, カイ; Kun い — sign of the hog; 9-11PM; twelfth sign of the Chinese zodiac
亦	On エキ, ヤク; Kun また — also; again
亨	On コウ, キョウ, ホウ; Kun とお.る — pass through; go smoothly
享	On キョウ, コウ; Kun う.ける — enjoy; receive; undergo; answer (phone); take; get; catch
京	On キョウ, ケイ, キン; Kun みやこ — capital; 10**16
亭	On テイ, チン; Kun — — pavilion; restaurant; mansion; arbor; cottage; vaudeville; music hall; stage name
亮	On リョウ; Kun あきらか — clear; help
亯	On キョウ, コウ; Kun う.ける — to receive; to enjoy
亰	On キョウ, ケイ, キン; Kun みやこ — capital city
亳	On ハク; Kun — — an ancient Chinese capital
亶	On タン, セン; Kun あつ.い, ほしいまま — truly; wholly; cordial
亹	On ビ, ミ, ボン, モン; Kun つと.める, うつく.しい — progress; busy; untiring; exert
人	On ジン, ニン; Kun ひと, -り, -と — person
亻	radical number 9
亼	On シュウ, ジュウ; Kun あつまる — to assemble. to gather together
什	On ジュウ, シュウ; Kun — — utensil; thing; ten
仁	On ジン, ニ, ニン; Kun — — humanity; virtue; benevolence; charity; man; kernel
仂	On ドウ, リュク, リキ, ロク, リョク; Kun はたら.く — surplus or excess; remainder
仃	On テイ; Kun — — lonely; solitary
仄	On ソク; Kun ほの.か, ほの-, ほの.めかす, ほの.めく, かたむ.く — be seen dimly; suggest; intimate; faint; stupid; hint
仆	On フ; Kun たお.れる — fall; lie down; bend
仇	On キュウ, グ; Kun あだ, あた, かたき, つれあい — foe; enemy; revenge; grudge; feud
今	On コン, キン; Kun いま — now
介	On カイ; Kun — — jammed in; shellfish; mediate; concern oneself with
仍	On ジョウ, ニョウ; Kun よ.って, しきりに, なお, よる — therefore; consequently
从	On ショウ, ジュウ, ジュ; Kun したが.う, したが.える, より — two people
仏	On ブツ, フツ; Kun ほとけ — Buddha; the dead; France
仔	On シ; Kun こ, た.える — offspring (animal); detailed; fine
仕	On シ, ジ; Kun つか.える — attend; doing; official; serve
他	On タ; Kun ほか — other; another; the others
仗	On ジョウ, チョウ; Kun つえ, つわもの, まわり, よる — cane; stick
付	On フ; Kun つ.ける, -つ.ける, -づ.ける, つ.け, つ.け-, -つ.け, -づ.け, -づけ, つ.く, -づ.く, つ.き, -つ.き, -つき, -づ.き, -づき — adhere; attach; refer to; append
仙	On セン, セント; Kun — — hermit; wizard; cent
仚	On ケン; Kun とぶ — to fly
仛	On タ, タク; Kun おとめ, よ.る — young girl; strange; different
仞	On ジン; Kun はか.る — fathom
仟	On セン; Kun ち, かしら — thousand
仡	On キツ, コチ; Kun いさ.ましい — strong; valiant
代	On ダイ, タイ; Kun か.わる, かわ.る, かわ.り, か.わり, -がわ.り, -が.わり, か.える, よ, しろ — substitute; change; convert; replace; period; age; counter for decades of ages, eras, etc.; generation; charge; rate; fee
令	On レイ; Kun — — orders; laws; command; decree; good
以	On イ; Kun もっ.て — by means of; because; in view of; compared with
仫	tribe
仭	On ジン; Kun はか.る — fathom
仮	On カ, ケ; Kun かり, かり- — sham; temporary; interim; assumed (name); informal
仰	On ギョウ, コウ; Kun あお.ぐ, おお.せ, お.っしゃる, おっしゃ.る — face-up; look up; depend; seek; respect; revere; drink; take
仲	On チュウ; Kun なか — go-between; relationship
仳	On ヒ; Kun わか.れる — separate; part company
仵	On コ; Kun あ.たる, あえて, さか.らう, おなじ — similar
件	On ケン; Kun くだん — affair; case; matter; item
价	On カイ; Kun — — man with shellfish kanji
任	On ニン; Kun まか.せる, まか.す — responsibility; duty; term; entrust to; appoint
份	On ヒン, フン; Kun うるわ.しい, あき.らか — portion; part; duty
仾	On テイ; Kun ひく.い, ひく.める, ひく.まる — to hang the head; to bow the head; to droop; to lower; low; beneath
仿	On ホウ; Kun さまよ.う, なら.う, くら.べる — imitate; copy; as if; stand still; wander
伀	On ショウ, シュ; Kun おおやけ, おそ.れる — excited
企	On キ; Kun くわだ.てる, たくら.む — undertake; scheme; design; attempt; plan
伃	On ヨ; Kun うつく.しい — handsome
伈	On シン; Kun おそ.れる — nervous; fearful
伉	On コウ; Kun たぐ.い, なら.ぶ — same kind; compare with
伊	On イ; Kun かれ — Italy; that one
伋	On キュウ, ロウ; Kun きび.しい — deceptive
伍	On ゴ; Kun いつつ — five; five-man squad; file; line
伎	On ギ, キ; Kun わざ, わざおぎ — deed; skill
伏	On フク; Kun ふ.せる, ふ.す — prostrated; bend down; bow; cover; lay (pipes)
伐	On バツ, ハツ, カ, ボチ; Kun き.る, そむ.く, う.つ — fell; strike; attack; punish
休	On キュウ; Kun やす.む, やす.まる, やす.める — rest; day off; retire; sleep
伕	On フ; Kun むすめむこ — common laborer
众	On ギン, ゴン; Kun おお.い — multitude; crowd; masses; public
伙	On カ; Kun ひ, ほ- — companion; colleague; utensils
会	On カイ, エ; Kun あ.う, あ.わせる, あつ.まる — meeting; meet; party; association; interview; join
伜	On サイ, ソツ, ソチ; Kun せがれ — son; my son
伝	On デン, テン; Kun つた.わる, つた.える, つた.う, つだ.う, -づた.い, つて — transmit; go along; walk along; follow; report; communicate; legend; tradition
伮	On ド; Kun つと.める — to make a great effort
伯	On ハク; Kun — — chief; count; earl; uncle; Brazil
估	On コ; Kun あきな.う, あた.い — price; business; selling
伱	On ジ, ニ; Kun なんじ, しかり, その, のみ — thou; you
伴	On ハン, バン; Kun ともな.う — consort; accompany; bring with; companion
伶	On レイ, リョウ; Kun わざおぎ — actor
伷	On チュウ; Kun ちすじ, よつぎ — descendent
伸	On シン; Kun の.びる, の.ばす, の.べる, の.す — expand; stretch; extend; lengthen; increase
伹	On ショ; Kun つたな.い — dull; slow; unskillful
伺	On シ; Kun うかが.う — pay respects; visit; ask; inquire; question; implore
伻	On ホウ, ヒョウ; Kun つか.う — messenger; emissary; send emissary
似	On ジ; Kun に.る, ひ.る — becoming; resemble; counterfeit; imitate; suitable
伽	On カ, ガ, キャ, ギャ; Kun とぎ — nursing; attending; entertainer
伾	On ヒ, ハイ, ヘ; Kun おお.い — mighty
佀	On ジ; Kun に.る, ひ.る — resemble
佃	On テン, デン; Kun つくだ — cultivated rice field
但	On タン; Kun ただ.し — however; but
佇	On チョ; Kun たたず.む — stop; linger; appearance; figure; bearing
佈	On ホ, フ; Kun あまね.し — spread; publicize; announce
佉	On キョ, コ, キャ, カ; Kun — — surname; name of a divine being; (transliteration of Sanskrit "kh")
佋	On ショウ; Kun たす.ける — continue; carry on; hand down; to join
佌	On シ; Kun ちい.さい — small
位	On イ; Kun くらい, ぐらい — rank; grade; throne; crown; about; some
低	On テイ; Kun ひく.い, ひく.める, ひく.まる — lower; short; humble
住	On ジュウ, ヂュウ, チュウ; Kun す.む, す.まう, -ず.まい — dwell; reside; live; inhabit
佐	On サ; Kun — — assistant; help
佑	On ユウ, ウ; Kun たす.ける — help; assist
体	On タイ, テイ; Kun からだ, かたち — body; substance; object; reality; counter for images
佔	On チン, セン, テン; Kun みる, うかが.う, し.める — occupy by force; usurp; possess
何	On カ; Kun なに, なん, なに-, なん- — what
佗	On タ, イ; Kun わび.しい, わび, ほか, わ.びる — proud; lonely
佘	On シャ; Kun — — surname
余	On ヨ; Kun あま.る, あま.り, あま.す, あんま.り — too much; myself; surplus; other; remainder
佚	On イツ, テツ; Kun たのし.む, のが.れる — lost; hide; peace; mistake; beautiful; in turn
佛	On ブツ, フツ; Kun ほとけ — France
作	On サク, サ; Kun つく.る, つく.り, -づく.り — make; production; prepare; build
佝	On コウ, ク; Kun せむし — foolish; stooped over
佞	On ネイ; Kun おもね.る, よこしま — flattery; insincerity
佟	On トウ, ズ; Kun — — name
你	On ジ, ニ; Kun なんじ, しかり, その, のみ — you; second person pronoun
佣	On ヨウ; Kun — — commission fee
佩	On ハイ; Kun は.く, お.びる, おびだま — wear; put on (a sword)
佪	On カイ, エ; Kun さまよ.う — hesitate; go around
佬	On リョウ, ロ, ロウ; Kun おお.きい — (Cantonese) man; person; mature
佯	On ヨウ; Kun いつわ.る — pretend; feign; false; deceitful
佰	On ヒャク, ハク; Kun おさ — hundred; leader of 100 men; east-west path between paddies
佳	On カ; Kun — — excellent; beautiful; good; pleasing; skilled
併	On ヘイ; Kun あわ.せる — join; get together; unite; collective
佶	On キツ, キチ; Kun — — healthy; correct
佷	On コン, コウ, ギン; Kun もと.る — to act contrary to
佸	On カツ, ガチ; Kun あ.う, あつ.まる, つと.める, いた.る — meet
佹	On キ; Kun かさ.なる, よ.る, もと.る, ささ.える — depend upon; support; go against; (variant deceive)
佺	On セン; Kun — — fairy
佻	On チョウ, ジョウ, ヨウ; Kun かる.い — frivolity
佼	On キョウ, コウ; Kun こう.す, うつく.しい — beautiful; clever; deceive; sly
佽	On シ; Kun すばしこい, なら.ぶ, たす.ける, およ.び, かわるがわる — aid; help
佾	On イツ, イチ; Kun やす.い, やす.んずる — row or file of dancers
使	On シ; Kun つか.う, つか.い, -つか.い, -づか.い — use; send on a mission; order; messenger; envoy; ambassador; cause
侁	On シン; Kun い.く, つか.い — crowd
侂	On タク; Kun よ.せる, たの.む — to commission; to entrust to; to depute; to request; to ask
侃	On カン; Kun つよ.い — strong; just; righteous; peace-loving
侄	On シツ, シチ, テツ; Kun かた.い, おろ.か, とど.まる — nephew
侅	On カイ; Kun むせ.ぶ — to give; prepared for included in; embraced in
來	On ライ, タイ; Kun く.る, きた.る, きた.す, き.たす, き.たる — come; due; next; cause; become
侈	On シ; Kun おご.る — luxury; pride
侊	On コウ; Kun さかん — big
例	On レイ; Kun たと.える — example; custom; usage; precedent
侍	On ジ, シ; Kun さむらい, はべ.る — waiter; samurai; wait upon; serve
侎	On ビ, ミ; Kun いつく.しむ — to soothe; to pacify; to settle; to establish
侏	On シュ; Kun — — actor; supporting post
侐	On キョク, ケキ, キ; Kun しず.か, さび.しい — quiet
侑	On ユウ, ウ; Kun すす.める, たす.ける — urge to eat
侔	On ボウ, ム; Kun ひと.しい, そろ.う, したが.う, つと.める, と.る, はか.る — equal
侖	On リン, ロン; Kun おも.う — think; be methodical
侗	On トウ, ツ, ズ; Kun おろ.か, いた.む, かたち, なおい, まこと, つつし.む — big; ignorant; rude; rustic
侘	On タ; Kun わび.しい, ほこ.る, わ.びる — proud; lonely
侚	On シュン; Kun すみ.やか, しめ.す, とな.える, ふか.い, つか.う — fast
供	On キョウ, ク, クウ, グ; Kun そな.える, とも, -ども — submit; offer; present; serve (meal); accompany
依	On イ, エ; Kun よ.る — reliant; depend on; consequently; therefore; due to
侠	On キョウ; Kun きゃん, おとこだて — tomboy; chivalry
価	On カ, ケ; Kun あたい — value; price
侫	On ネイ; Kun おもね.る, よこしま — flattery; insincerity
侭	On ジン; Kun まま, ことごとく — as it is; because
侮	On ブ; Kun あなど.る, あなず.る — scorn; despise; make light of; contempt
侯	On コウ; Kun — — marquis; lord; daimyo
侵	On シン; Kun おか.す — encroach; invade; raid; trespass; violate
侶	On リョ, ロ; Kun とも — companion; follower
侷	On キョク, ゴク; Kun たけがひく.い, せま.る — narrow; cramped; confined
便	On ベン, ビン; Kun たよ.り — convenience; facility; excrement; feces; letter; chance
俁	On グ; Kun おお.きい — big
係	On ケイ; Kun かか.る, かかり, -がかり, かか.わる — person in charge; connection; duty; concern oneself
促	On ソク; Kun うなが.す — stimulate; urge; press; demand; incite
俄	On ガ; Kun にわか — sudden; abrupt; improvised
俅	On キュウ, グ; Kun いただ.く — ornamental cap
俈	On コク; Kun — — to inform quickly; an urgent communication
俊	On シュン; Kun — — sagacious; genius; excellence
俎	On ソ, ショ; Kun いた, まないた — altar of sacrifice; chopping board
俏	On ショウ; Kun に.る, かたど.る, みめよい, やつ.す — like; similar; resemble; pretty; disguise oneself as; dress up; pine away
俐	On リ; Kun かしこ.い — clever
俑	On ヨウ, トウ, ユウ; Kun — — effigy
俔	On ケン; Kun たと.える, うかが.う — compare; spy on
俗	On ゾク; Kun — — vulgar; customs; manners; worldliness; mundane things
俘	On フ; Kun とりこ — captive
俚	On リ; Kun いや.しい — rustic; ill mannered
俛	On フ, ベン, メン; Kun ふ.せる — look down; diligent
俜	On ヘイ, ビョウ; Kun つか.う, おとこだて — to trust to; send a message
保	On ホ, ホウ; Kun たも.つ — protect; guarantee; keep; preserve; sustain; support
俟	On シ; Kun ま.つ — wait; depend on
俠	On キョウ, キャン; Kun おとこだて — chivalrous person; chivalry; knight-errant; tomboy
